YEAR,QUAD,PLOT,SPEC,FIASP,HT1,HT2,HT3,HT4
2004,8F3,3,3,012,2,0,0,0
2004,8F3,4,3,012,1,0,0,0
2004,8F1,1,7,316,3,1,0,0
2004,8F1,1,1,129,6,1,0,0
2004,8F1,2,1,129,9,0,0,0
2004,8F1,2,7,316,11,0,0,0
2004,8F1,2,3,012,0,1,2,0
2004,8F1,3,7,316,5,1,0,0
2004,8F1,3,1,129,14,1,0,0
2004,8F1,4,1,129,3,0,0,0
2004,8F1,4,7,316,6,0,0,0
2004,8F2,1,1,129,5,0,0,0
2004,8F2,1,7,316,8,0,0,0
2004,8F2,2,7,316,3,0,0,0
2004,8F2,2,1,129,8,0,0,0
2004,8F2,2,3,012,1,0,1,0
2004,8F2,3,7,316,1,0,0,0
2004,8F2,4,1,129,15,0,0,0
2004,8E3,1,7,316,22,0,0,0
2004,8E3,1,1,129,2,0,0,0
2004,8E3,2,1,129,12,8,0,0
2004,8E3,2,7,316,32,0,0,0
2004,8E3,3,7,316,12,0,0,0
2004,8E3,3,1,129,3,0,0,0
2004,8E3,3,3,012,1,0,0,0
2004,8E3,4,1,129,7,0,0,0
2004,8E3,4,7,316,37,1,0,0
2004,8E3,4,3,012,1,4,0,0
2004,8D1,1,7,316,1,0,0,0
2004,8D1,1,1,129,2,1,0,0
2004,8D1,2,1,129,9,1,0,0
2004,8D1,2,6,802,2,0,0,0
2004,8D1,2,7,316,1,0,0,0
2004,8D1,3,1,129,0,1,1,0
2004,8D1,3,7,316,2,0,0,0
2004,8D1,4,7,316,1,0,0,0
2004,8D1,4,1,129,2,4,0,0
2004,8E1,1,7,316,16,0,0,0
2004,8E1,2,7,316,9,0,0,0
2004,8E1,3,7,316,23,0,0,0
2004,8E1,4,7,316,20,0,0,0
2004,8D3,1,1,129,0,1,0,0
2004,8D3,1,7,316,3,2,0,0
2004,8D3,2,7,316,3,0,0,0
2004,8D3,3,7,316,4,3,0,0
2004,8D3,4,7,316,5,0,0,0
2004,7C1,1,7,316,1,0,0,0
2004,7C1,2,7,316,9,3,0,0
2004,7C1,3,7,316,7,1,0,0
2004,7C1,3,2,097,0,3,0,0
2004,7C1,3,1,129,1,2,0,0
2004,7C1,4,7,316,6,0,0,0
2004,7C1,4,1,129,1,2,0,0
2004,8C2,1,1,129,2,0,0,0
2004,8C2,1,7,316,1,0,0,0
2004,8C2,2,7,316,2,0,0,0
2004,8C2,2,5,833,0,1,0,0
2004,8C2,3,7,316,1,0,0,0
2004,8C2,4,7,316,2,4,0,0
2004,8C2,4,1,129,2,0,0,0
2004,8C4,1,7,316,7,0,0,0
2004,8C4,1,3,012,1,0,0,0
2004,8C4,2,7,316,4,0,0,0
2004,8C4,2,1,129,0,1,2,0
2004,8C4,2,6,802,0,1,0,0
2004,8C4,3,7,316,4,2,0,0
2004,8C4,3,6,802,0,1,0,0
2004,8C4,3,1,129,1,0,0,0
2004,8C4,4,6,802,0,1,0,0
2004,8C4,4,7,316,2,0,0,0
2004,8C4,4,5,833,0,1,0,0
2004,8D2,1,7,316,82,0,0,0
2004,8D2,1,1,129,2,1,0,0
2004,8D2,1,3,012,1,3,0,0
2004,8D2,2,3,012,3,3,0,0
2004,8D2,3,7,316,82,0,0,0
