YEAR,TRAN,PLOT,SPEC,FIASP,DAM,SZ0,SZ1,SZ2,SZ3,SZ4,SZ5,SZ6,SZ7,SZ8,SZ9
2002,C09,2,1,129,0,27,0,0,0,0,0,0,0,0,0
2002,C09,2,7,316,0,0,0,0,0,0,0,0,1,0,0
2002,C09,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C09,1,1,129,0,1,0,0,0,0,0,0,0,0,0
2002,C09,1,7,316,0,0,0,0,0,0,0,0,0,1,0
2002,C09,3,1,129,0,4,0,0,0,0,0,0,0,0,0
2002,C09,3,5,833,0,0,0,0,0,0,0,0,0,1,0
2002,C09,7,1,129,0,4,0,0,0,0,0,0,0,0,0
2002,C09,7,5,833,3,4,0,0,0,0,0,0,0,0,0
2002,C09,7,6,802,2,1,0,0,0,0,0,0,0,0,0
2002,C09,7,5,833,0,1,0,0,0,0,0,0,0,0,0
2002,C17,1,7,316,0,0,0,2,0,0,0,0,0,0,0
2002,C17,1,25,585,0,0,0,3,3,0,1,0,0,0,0
2002,C17,1,3,012,0,0,0,1,0,0,0,0,0,0,0
2002,C17,1,1,129,0,1,0,0,0,1,0,0,0,0,0
2002,H32,1,25,585,1,5,1,4,5,2,0,0,0,0,0
2002,H32,1,1,129,0,2,0,1,0,2,0,0,0,0,0
2002,H32,1,8,371,0,2,0,0,0,0,0,0,0,0,0
2002,H32,1,7,316,2,3,1,0,0,0,0,0,0,0,0
2002,H32,1,3,012,0,0,0,0,1,1,0,0,0,0,0
2002,C37,2,5,833,2,1,0,1,0,0,1,0,0,0,0
2002,C37,2,7,316,2,3,0,1,0,0,0,0,0,0,0
2002,C37,2,3,012,0,0,0,0,0,0,0,0,0,0,1
2002,C37,1,3,012,0,1,0,0,2,1,0,1,1,0,0
2002,C37,1,5,833,0,0,0,0,1,0,0,0,0,0,0
2002,C11,4,5,833,0,0,0,0,0,0,0,1,0,0,1
2002,C11,2,1,129,0,5,0,0,0,0,0,0,0,0,0
2002,C11,2,3,012,0,4,0,0,0,0,0,0,0,0,0
2002,C11,2,5,833,3,2,0,0,0,0,0,0,0,0,0
2002,C11,2,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C11,1,4,261,2,1,0,0,0,0,0,0,0,0,0
2002,C11,1,1,129,0,0,0,0,1,0,0,0,0,0,0
2002,C11,1,7,316,0,0,0,0,1,0,0,0,0,0,0
2002,C11,1,3,012,0,0,0,0,0,1,0,0,0,0,0
2002,C12,3,2,097,0,2,0,0,0,0,0,0,0,0,0
2002,C12,3,3,012,0,2,0,0,0,0,0,0,0,0,0
2002,C12,2,3,012,0,0,0,1,5,3,3,1,0,0,0
2002,C12,2,5,833,0,0,0,0,0,0,0,0,1,0,0
2002,C10,1,1,129,0,9,0,0,0,0,0,0,0,0,0
2002,C10,1,2,097,0,1,0,0,0,0,0,0,0,0,0
2002,C10,1,7,316,0,0,0,0,0,0,0,0,1,0,0
